month,class,geometry
Jan,background,"c(-67.4879500364131, 42.0057208316301)"
Jan,background,"c(-69.3800168442815, 41.5121381860992)"
Jan,background,"c(-68.4751153274749, 42.2525121543955)"
Jan,background,"c(-65.3490919057791, 43.3219412197125)"
Jan,background,"c(-67.2411587136476, 42.3347759286507)"
Jan,background,"c(-71.0252923293846, 40.6895004435477)"
Jan,background,"c(-70.1203908125779, 41.1830830890786)"
Jan,background,"c(-66.5007847453512, 44.7204253820501)"
Jan,background,"c(-69.626808167047, 41.5944019603543)"
Jan,background,"c(-68.8864341987506, 42.1702483801404)"
Jan,background,"c(-72.2592489432118, 39.784598926741)"
Jan,background,"c(-67.981532681944, 42.0057208316301)"
Jan,background,"c(-69.8735994898124, 42.2525121543955)"
Jan,background,"c(-69.0509617472609, 42.9106223484367)"
Jan,background,"c(-69.7913357155573, 42.499303477161)"
Jan,background,"c(-69.7913357155573, 42.4170397029058)"
Jan,background,"c(-68.4751153274749, 42.0057208316301)"
Jan,background,"c(-69.0509617472609, 42.5815672514161)"
Jan,background,"c(-69.1332255215161, 42.1702483801404)"
Jan,background,"c(-73.2464142342736, 39.8668627009962)"
Jan,background,"c(-67.7347413591785, 42.8283585741816)"
Jan,background,"c(-67.981532681944, 42.7460947999264)"
Jan,background,"c(-72.2592489432118, 39.8668627009962)"
Jan,background,"c(-72.4237764917221, 39.6200713782307)"
Jan,background,"c(-67.5702138106682, 44.144578962264)"
Jan,background,"c(-69.5445443927918, 42.2525121543955)"
Jan,background,"c(-71.8479300719361, 39.9491264752513)"
Jan,background,"c(-71.5188749749155, 39.7023351524859)"
Jan,background,"c(-69.4622806185367, 41.7589295088646)"
Jan,background,"c(-66.5007847453512, 42.3347759286507)"
Jan,background,"c(-69.7090719413021, 43.4864687682228)"
Jan,background,"c(-68.8864341987506, 43.0751498969471)"
Jan,background,"c(-68.6396428759852, 43.4864687682228)"
Jan,background,"c(-68.2283240047094, 43.4864687682228)"
Jan,background,"c(-67.2411587136476, 43.4042049939677)"
Jan,background,"c(-67.8992689076888, 43.9800514137537)"
Jan,background,"c(-70.1203908125779, 40.6895004435477)"
Jan,background,"c(-68.8864341987506, 41.3476106375889)"
Jan,background,"c(-70.202654586833, 42.5815672514161)"
